hotel_id,hotel_code,name,star_rating,review_score,review_count,min_price_vnd,max_price_vnd,deal_price_vnd,address,latitude,longitude,description,facilities,location_tags,hotel_url,source,crawl_date,check_in,check_out
777976,mercure-dalat-resort,Khu nghỉ dưỡng Grand Mercure Đà Lạt (Mercure Đà Lạt cũ),5.0,9.7,207,2881440,2881440,1599000,"03 Nguyễn Du, Phường 9",11.94503479,108.45929871,Hồ bơi nước ấm; Phong cách Châu Âu; Miễn phí trẻ em,Hồ bơi nước ấm; Phong cách Châu Âu; Miễn phí trẻ em,Trung tâm TP Đà Lạt,https://www.ivivu.com/khach-san-da-lat/mercure-dalat-resort,iVIVU,2026-09-20,2026-09-23,2026-09-24
1061824,khach-san-best-western-premier-imperial-da-lat,Khách sạn Best Western Premier Imperial Đà Lạt,5.0,9.6,58,1598000,1598000,3299000,"57 - 59 Hùng Vương, Phường Lâm Viên",11.95044566,108.46821123,Thiết kế Indochine; Tất cả phòng có máy lạnh,Thiết kế Indochine; Tất cả phòng có máy lạnh,Trung tâm TP Đà Lạt,https://www.ivivu.com/khach-san-da-lat/khach-san-best-western-premier-imperial-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
897417,khach-san-merperle-da-lat,Khách sạn MerPerle Đà Lạt,5.0,9.8,444,1694000,1694000,3499000,"1 Đ.Hùng Vương, Phường 10",11.9411183,108.458303,Hồ bơi nước ấm; Hầm gửi xe lớn và có sạc điện,Hồ bơi nước ấm; Hầm gửi xe lớn và có sạc điện,Trung tâm TP Đà Lạt,https://www.ivivu.com/khach-san-da-lat/khach-san-merperle-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
577263,hotel-colline-da-lat,Khách sạn Colline Đà Lạt,4.0,9.5,787,1529000,1529000,3599000,"10 Phan Bội Châu, Phường 1",11.94436403,108.43798685,Căn hộ 2 & 3 phòng ngủ; Phòng Penthouse,Căn hộ 2 & 3 phòng ngủ; Phòng Penthouse,Chợ Đà Lạt,https://www.ivivu.com/khach-san-da-lat/hotel-colline-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
377336,swiss-belresort-tuyen-lam-da-lat,Swiss-Belresort Tuyền Lâm - Đà Lạt,4.0,9.4,921,1221607,1221607,2799000,"Phân khu chức năng 7.8, KDL Hồ Tuyền Lâm",11.88256077,108.45184777,Xe đón tiễn trung tâm; Nằm giữa thung lũng,Xe đón tiễn trung tâm; Nằm giữa thung lũng,Hồ Tuyền Lâm,https://www.ivivu.com/khach-san-da-lat/swiss-belresort-tuyen-lam-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
1157747,khach-san-m-village-premier-xuan-huong-lakeside,Khách sạn M Village Premier Xuân Hương Lakeside,0.0,10.0,6,940500,940500,1499000,"19 Lê Đại Hành, phường Xuân Hương",11.938672206386968,108.4381184018523,Cách Chợ Đà Lạt 400m; Dịch vụ tự giặt ủi,Cách Chợ Đà Lạt 400m; Dịch vụ tự giặt ủi,Chợ Đà Lạt,https://www.ivivu.com/khach-san-da-lat/khach-san-m-village-premier-xuan-huong-lakeside,iVIVU,2026-09-20,2026-09-23,2026-09-24
1157653,signature-by-m-village-the-central-da-lat,Signature by M Village The Central Đà Lạt,0.0,10.0,3,1248987,1248987,699000,11 Phan Như Thạch,11.9411316,108.4354988,Cách chợ ĐL 500m; Tắm onsen; Dịch vụ tự giặt ủi,Cách chợ ĐL 500m; Tắm onsen; Dịch vụ tự giặt ủi,Chợ Đà Lạt,https://www.ivivu.com/khach-san-da-lat/signature-by-m-village-the-central-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
12024,dalat-edensee-lake-resort-spa-12024,Khu nghỉ dưỡng Đà Lạt Edensee Lake Resort & Spa,5.0,9.3,366,1284425,1284425,3199000,Khu 2 Hồ Tuyền Lâm,11.88739957,108.42365039,Villa riêng yên tĩnh; Mini zoo; Trà chiều mỗi ngày,Villa riêng yên tĩnh; Mini zoo; Trà chiều mỗi ngày,Hồ Tuyền Lâm,https://www.ivivu.com/khach-san-da-lat/dalat-edensee-lake-resort-spa-12024,iVIVU,2026-09-20,2026-09-23,2026-09-24
577139,khach-san-nesta-valley-dalat,Khách sạn Nesta Valley Dalat (Golf Valley Đà Lạt cũ),4.0,9.5,601,1441494,1441494,2099000,"94 Bùi Thị Xuân, Phường 2",11.94739634,108.44050668,Cách chợ Đà Lạt 1km; Có máy lạnh,Cách chợ Đà Lạt 1km; Có máy lạnh,Trung tâm TP Đà Lạt,https://www.ivivu.com/khach-san-da-lat/khach-san-nesta-valley-dalat,iVIVU,2026-09-20,2026-09-23,2026-09-24
561954,khu-nghi-duong-da-lat-wonder,Khu nghỉ dưỡng Đà Lạt Wonder,5.0,9.1,531,1210000,1210000,2899000,"Số 19, đường Hoa Hồng, KDL Hồ Tuyền Lâm",11.89596,108.415754,Hồ bơi vô cực; Khu vui chơi Wonderland; Villa 4-11 phòng ngủ,Hồ bơi vô cực; Khu vui chơi Wonderland; Villa 4-11 phòng ngủ,Hồ Tuyền Lâm,https://www.ivivu.com/khach-san-da-lat/khu-nghi-duong-da-lat-wonder,iVIVU,2026-09-20,2026-09-23,2026-09-24
960015,khach-san-golden-sun-da-lat,Khách sạn Golden Sun Đà Lạt,5.0,9.9,69,1998000,1998000,2599000,"Số 1 Bà Huyện Thanh Quan , Phường 10",11.938007,108.44629,Ngay Quảng trường Lâm Viên; Hồ bơi nước ấm trong nhà,Ngay Quảng trường Lâm Viên; Hồ bơi nước ấm trong nhà,Trung tâm TP Đà Lạt,https://www.ivivu.com/khach-san-da-lat/khach-san-golden-sun-da-lat,iVIVU,2026-09-20,2026-09-23,2026-09-24
