record_id,product_id,sku,connection_type,keyboard_type,switch_type,layout,backlight
thegioididong_351689,351689,,,Tenkeyless (Rút gọn),Akko Stellar Rose Switch,,
thegioididong_326735,326735,,,Full size,,,
thegioididong_357643,357643,,,Full size,Razer Yellow Mechanical Switches (Linear),,
thegioididong_357642,357642,,,Full size,Razer Green Mechanical Switches (Clicky),,
thegioididong_357645,357645,,,Tenkeyless (Rút gọn),Razer Mechanical Switches Gen-3 (Tactile),,
thegioididong_342572,342572,,,Cỡ 60%,Glare Magnetic,,
thegioididong_342574,342574,,,Cỡ 60%,Glare Magnetic,,
thegioididong_279466,279466,,,Full size,,,
thegioididong_323008,323008,,,Compact (Rút gọn),,,
thegioididong_357640,357640,,,Cỡ 75%,Razer Mechanical Switches (Tactile),,
thegioididong_357611,357611,,,Full size,Razer Green Mechanical Switches (Clicky),,
thegioididong_359226,359226,,,Full size,,,
thegioididong_332194,332194,,,Hãng không công bố,,,
thegioididong_342573,342573,,,Cỡ 60%,Glare Magnetic,,
thegioididong_361813,361813,,,Full size,Purple Gold,,
thegioididong_325540,325540,,,Hãng không công bố,Hãng không công bố,,
thegioididong_366045,366045,,,Cỡ 75%,Akko v3 Piano,,
thegioididong_344719,344719,,,Cỡ 96%,,,
thegioididong_368611,368611,,,Cỡ 85%,EDRA Switch,,
thegioididong_361164,361164,,,Full size,Hãng không công bố,,
thegioididong_364801,364801,,,Tenkeyless (Rút gọn),Mechanical Switch,,
thegioididong_339127,339127,,,Tenkeyless (Rút gọn),Scissior,,
thegioididong_362514,362514,,,Full size,X-Scissors,,
thegioididong_361810,361810,,,Tenkeyless (Rút gọn),Red Switch,,
thegioididong_323001,323001,,,Full size,,,
thegioididong_339154,339154,,,Full size,Hãng không công bố,,
thegioididong_339121,339121,,,Tenkeyless (Rút gọn),DareU Cloud switch,,
thegioididong_338172,338172,,,Full size,Hãng không công bố,,
thegioididong_339126,339126,,,Full size,Scissior,,
thegioididong_339155,339155,,,Tenkeyless (Rút gọn),Switch cơ GL,,
thegioididong_326669,326669,,,Cỡ 75%,,,
thegioididong_323006,323006,,,Compact (Rút gọn),,,
thegioididong_296791,296791,,,Hãng không công bố,Hãng không công bố,,
thegioididong_370116,370116,,,layout 98%,Linear,,
thegioididong_368616,368616,,,Hãng không công bố,EDRA Red,,
thegioididong_362904,362904,,,Cỡ 75% - Low Profile,X-Scissors,,
thegioididong_335495,335495,,,Hãng không công bố,Hãng không công bố,,
thegioididong_368626,368626,,,Full size,3 triệu lần nhấp (3M),,
thegioididong_368610,368610,,,Cỡ 68%,EDRA Switch,,
thegioididong_365035,365035,,,Full size,Scissior,,
thegioididong_335494,335494,,,Hãng không công bố,Hãng không công bố,,
thegioididong_325816,325816,,,,,,
thegioididong_314636,314636,,,Full size,,,
thegioididong_368614,368614,,,Hãng không công bố,EDRA Linear Custom Switch,,
thegioididong_331851,331851,,,1800 - Compact (Rút gọn),Cream Yellow Pro,,
thegioididong_325541,325541,,,Hãng không công bố,Hãng không công bố,,
thegioididong_335191,335191,,,1800 - Compact (Rút gọn),Red Switch,,
thegioididong_368606,368606,,,Hãng không công bố,Switch Life,,
thegioididong_342558,342558,,,Cỡ 75%,Cream Yellow Pro,,
thegioididong_339140,339140,,,Full size,,,
thegioididong_335543,335543,,,QWERTY,,,
thegioididong_362530,362530,,,Full size,Membrane giả cơ,,
thegioididong_361811,361811,,,Tenkeyless (Rút gọn),Outemu GR Silver,,
thegioididong_339152,339152,,,Tenkeyless (Rút gọn),Hãng không công bố,,
thegioididong_332195,332195,,,Hãng không công bố,Hãng không công bố,,
thegioididong_368608,368608,,,Full size,X-Scissors Slilent,,
thegioididong_365034,365034,,,Cỡ 75%,DareU DREAM switch,,
thegioididong_361558,361558,,,Cỡ 75%,Scissor Switch,,
thegioididong_351682,351682,,,Tenkeyless (Rút gọn),Akko Mirror Switch,,
thegioididong_339147,339147,,,Mini size,,,
thegioididong_328212,328212,,,Hãng không công bố,,,
thegioididong_362476,362476,,,Full size,Membrane giả cơ,,
thegioididong_314635,314635,,,Cỡ 75%,DareU DREAM switch,,
thegioididong_366044,366044,,,Cỡ 75%,Akko Frost Pink,,
thegioididong_351687,351687,,,Tenkeyless (Rút gọn),Akko Mirror Switch,,
thegioididong_342570,342570,,,Cỡ 75%,Akko AstroAim Magnetic Switch,,
thegioididong_339151,339151,,,Full size,GX Blue,,
thegioididong_339148,339148,,,Full size,,,
thegioididong_339122,339122,,,Full size,DareU Cloud switch,,
thegioididong_337341,337341,,,Cỡ 75%,Storm Switch,,
thegioididong_337339,337339,,,Cỡ 75%,Snow Switch,,
thegioididong_335542,335542,,,QWERTY,,,
thegioididong_328229,328229,,,Full size,CORSAIR MLX Red,,
