record_id,product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
thegioididong_363462,363462,,23.8,1920x1080,144.0,IPS,1.0
thegioididong_370022,370022,,27.0,1920x1080,144.0,IPS,1.0
thegioididong_365862,365862,,27.0,1920x1080,144.0,IPS,1.0
thegioididong_329690,329690,,21.45,1920x1080,100.0,VA,1.0
thegioididong_365786,365786,,24.0,1920x1080,100.0,IPS,1.0
thegioididong_358835,358835,,27.0,1920x1080,144.0,IPS,4.0
thegioididong_364381,364381,,27.0,1920x1080,120.0,VA,2.0
thegioididong_339897,339897,,27.0,1920x1080,100.0,IPS,5.0
thegioididong_338142,338142,,23.8,1920x1080,120.0,IPS,1.0
thegioididong_339092,339092,,21.5,1920x1080,100.0,IPS,5.0
thegioididong_365871,365871,,23.8,1920x1080,144.0,IPS,1.0
thegioididong_358205,358205,,24.5,1920x1080,100.0,IPS,1.0
thegioididong_342212,342212,,27.0,1920x1080,180.0,VA,1.0
thegioididong_331920,331920,,23.8,1920x1080,120.0,IPS,1.0
thegioididong_328849,328849,,24.5,1920x1080,120.0,IPS,1.0
thegioididong_365874,365874,,27.0,1920x1080,144.0,IPS,6.0
thegioididong_364378,364378,,24.5,1920x1080,240.0,Rapid IPS,0.5
thegioididong_342369,342369,,27.0,1920x1080,240.0,Fast IPS,0.3
thegioididong_362657,362657,,27.0,1920x1080,144.0,IPS,1.0
thegioididong_322529,322529,,34.0,3K (3440 x 1440),100.0,VA,5.0
thegioididong_322533,322533,,27.0,2560x1440,165.0,VA,1.0
thegioididong_331656,331656,,27.0,1920x1080,100.0,IPS,5.0
thegioididong_335630,335630,,27.0,1920x1080,180.0,IPS,1.0
thegioididong_370021,370021,,23.8,1920x1080,144.0,IPS,1.0
thegioididong_367218,367218,,27.0,2560x1440,180.0,OLED,0.03
thegioididong_369752,369752,,27.0,2560x1440,144.0,IPS,1.0
thegioididong_361203,361203,,24.0,2560x1440,144.0,Fast IPS,0.5
thegioididong_365863,365863,,15.6,1920x1080,60.0,IPS,5.0
thegioididong_342368,342368,,23.8,1920x1080,240.0,Fast IPS,0.3
thegioididong_367219,367219,,27.0,2560x1440,200.0,IPS,1.0
thegioididong_368644,368644,,23.8,1920x1080,200.0,IPS,0.5
thegioididong_344716,344716,,23.8,1920x1080,100.0,IPS,6.5
thegioididong_349979,349979,,23.8,1920x1080,240.0,Rapid IPS,0.5
thegioididong_364960,364960,,15.6,1920x1080,60.0,IPS,5.0
thegioididong_339094,339094,,24.5,1920x1080,200.0,Fast IPS,1.0
thegioididong_368264,368264,,24.0,1920x1080,144.0,IPS,5.0
thegioididong_336402,336402,,23.8,1920x1080,146.0,IPS,1.0
thegioididong_370877,370877,,27.0,2560x1440,220.0,Fast IPS,1.0
thegioididong_334381,334381,,23.8,1920x1080,200.0,IPS,4.0
thegioididong_364964,364964,,34.0,2560x1440,120.0,VA,1.0
thegioididong_358834,358834,,15.6,1920x1080,60.0,IPS,4.0
thegioididong_332008,332008,,27.0,1920x1080,120.0,IPS,1.0
thegioididong_358519,358519,,24.1,WUXGA (1920 x 1200),100.0,IPS,5.0
thegioididong_362654,362654,,23.8,1920x1080,144.0,IPS,6.0
thegioididong_290765,290765,,27.0,UHD (3840 x 2160),60.0,IPS,5.0
thegioididong_370881,370881,,23.8,1920x1080,260.0,Fast IPS,1.0
thegioididong_358202,358202,,27.0,2560x1440,120.0,IPS,5.0
thegioididong_365872,365872,,27.0,2560x1440,210.0,Fast IPS,0.3
thegioididong_328465,328465,,32.0,UHD (3840 x 2160),240.0,OLED,0.03
thegioididong_365785,365785,,16.0,1920x1080,60.0,IPS,7.0
thegioididong_364965,364965,,34.0,2560x1440,120.0,VA,1.0
thegioididong_364950,364950,,27.0,2560x1440,300.0,Fast IPS,1.0
thegioididong_364309,364309,,16.0,WUXGA (1920 x 1200),75.0,IPS,5.0
thegioididong_358521,358521,,27.0,1920x1080,240.0,Rapid IPS,0.5
thegioididong_358385,358385,,27.0,1920x1080,280.0,Rapid VA,0.5
thegioididong_341854,341854,,27.0,1920x1080,100.0,IPS,1.0
thegioididong_334382,334382,,27.0,1920x1080,200.0,IPS,4.0
thegioididong_370878,370878,,34.0,2560x1440,200.0,VA,1.0
thegioididong_337072,337072,,27.0,2560x1440,180.0,IPS,1.0
thegioididong_364311,364311,,27.0,4k (3840 x 2160),60.0,IPS,5.0
thegioididong_344717,344717,,27.0,1920x1080,240.0,Rapid VA,0.5
thegioididong_370025,370025,,27.0,2560x1440,144.0,IPS,1.0
thegioididong_342555,342555,,27.0,UHD (3840 x 2160),120.0,IPS,5.0
thegioididong_370019,370019,,26.5,2560x1440,540.0,WOLED,0.02
thegioididong_364961,364961,,27.0,5K (5120 x 2880),60.0,IPS,5.0
thegioididong_364954,364954,,27.0,2560x1440,255.0,Fast IPS,1.0
thegioididong_363500,363500,,27.0,5K Retina XDR (5120 x 2880),120.0,Hãng không công bố,
thegioididong_361202,361202,,32.0,UHD (3840 x 2160),240.0,WOLED,0.03
thegioididong_361200,361200,,26.5,2560x1440,280.0,QD-OLED,0.03
thegioididong_361198,361198,,34.0,2560x1440,175.0,OLED,0.03
thegioididong_358836,358836,,26.5,2560x1440,500.0,QD-OLED,0.03
thegioididong_335629,335629,,24.5,1920x1080,200.0,IPS,1.0
thegioididong_332351,332351,,27.0,UHD (3840 x 2160),60.0,IPS,5.0
thegioididong_370884,370884,,27.0,1920x1080,120.0,IPS,5.0
thegioididong_365866,365866,,24.5,1920x1080,300.0,Rapid IPS,0.5
thegioididong_364379,364379,,27.0,2560x1440,240.0,Rapid IPS,0.5
thegioididong_364313,364313,,27.0,2560x1440,144.0,IPS,5.0
thegioididong_364310,364310,,27.0,2560x1440,75.0,IPS,5.0
thegioididong_363495,363495,,27.0,5K Retina (5120 x 2880),60.0,Hãng không công bố,
thegioididong_362653,362653,,27.0,2560x1440,200.0,IPS,1.0
thegioididong_370883,370883,,23.8,1920x1080,120.0,IPS,5.0
thegioididong_370882,370882,,32.0,4k (3840 x 2160),165.0,OLED,0.03
thegioididong_370880,370880,,34.0,2560x1440,280.0,QD-OLED,0.03
thegioididong_370861,370861,,16.0,1920x1080,60.0,IPS,6.0
thegioididong_365868,365868,,31.5,UHD (3840 x 2160),240.0,QD-OLED,0.03
thegioididong_365867,365867,,26.5,2560x1440,500.0,QD-OLED,0.03
thegioididong_364962,364962,,32.0,8K (7680x4320),60.0,IPS,5.0
thegioididong_364953,364953,,26.5,2560x1440,540.0,WOLED,0.02
thegioididong_364952,364952,,26.5,2560x1440,240.0,WOLED,0.03
thegioididong_363498,363498,,27.0,5K Retina (5120 x 2880),60.0,Hãng không công bố,
thegioididong_341853,341853,,26.5,2560x1440,240.0,QD-OLED,0.03
thegioididong_321396,321396,,27.0,1920x1080,100.0,IPS,6.0
thegioididong_319480,319480,,27.0,2560x1440,75.0,IPS,5.0
thegioididong_370964,370964,,27.0,2560x1440,220.0,Fast IPS,1.0
thegioididong_370876,370876,,27.0,1920x1080,260.0,Fast IPS,0.3
thegioididong_368267,368267,,32.0,4k (3840 x 2160),240.0,OLED,0.03
thegioididong_368266,368266,,49.0,2560x1440,240.0,OLED,0.03
thegioididong_368265,368265,,27.0,2560x1440,240.0,OLED,0.03
thegioididong_365870,365870,,34.0,2560x1440,360.0,QD-OLED,0.03
thegioididong_358203,358203,,27.0,1920x1080,200.0,Fast IPS,1.0
thegioididong_356846,356846,,27.0,2560x1440,210.0,Fast IPS,0.3
thegioididong_349978,349978,,27.0,1920x1080,280.0,VA,0.5
thegioididong_339093,339093,,27.0,1920x1080,100.0,IPS,5.0
thegioididong_370024,370024,,27.0,2560x1440,210.0,Rapid IPS,0.5
thegioididong_370026,370026,,27.0,1920x1080,144.0,IPS,
thegioididong_362656,362656,,27.0,2560x1440,120.0,IPS,6.0
thegioididong_338144,338144,,27.0,UHD (3840 x 2160),60.0,IPS,6.0
thegioididong_361204,361204,,27.0,2560x1440,144.0,Fast IPS,0.5
thegioididong_339095,339095,,27.0,1920x1080,120.0,IPS,1.0
thegioididong_337314,337314,,24.5,1920x1080,200.0,Rapid IPS,0.5
thegioididong_331654,331654,,23.8,1920x1080,100.0,IPS,5.0
thegioididong_364963,364963,,27.0,2560x1440,144.0,IPS,4.0
thegioididong_362353,362353,,27.0,2560x1440,180.0,IPS,1.0
thegioididong_358204,358204,,23.8,1920x1080,144.0,IPS,4.0
thegioididong_337235,337235,,27.0,1920x1080,146.0,IPS,1.0
