product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
7438,1202903,Bàn phím Dell KB216-Black,Dell,keyboard,179000.0,179000.0,0.0,0.0,,,,phongvu,2026-09-21
4288,1202937,Bàn phím Logitech K120,Logitech,keyboard,165000.0,165000.0,0.0,0.0,,,,phongvu,2026-09-21
8211,1202938,Bàn phím Logitech K270,Logitech,keyboard,415000.0,415000.0,0.0,0.0,,,,phongvu,2026-09-21
9080,1503133,Bàn phím Logitech K400 Plus không dây (Đen),Logitech,keyboard,699000.0,830000.0,131000.0,16.0,,,,phongvu,2026-09-21
9088,1503243,Bàn phím Logitech Bluetooth K480 (Đen),Logitech,keyboard,800000.0,800000.0,0.0,0.0,,,,phongvu,2026-09-21
9569,1602542,Bàn phím số R8 1810,R8,keyboard,100000.0,100000.0,0.0,0.0,,,,phongvu,2026-09-21
3139,1701205,Bàn phím Logitech Gaming G213 (Đen) (920-008096),Logitech,keyboard,979000.0,990000.0,11000.0,1.0,,,,phongvu,2026-09-21
6583,1703677,Bàn phím cơ Fuhlen Destroyer,Fuhlen,keyboard,899000.0,899000.0,0.0,0.0,,,,phongvu,2026-09-21
6584,1703678,Bàn phím cơ Fuhlen Eraser - Optical Switch,Fuhlen,keyboard,799000.0,799000.0,0.0,0.0,,,,phongvu,2026-09-21
6992,1703737,Bàn Phím Dareu LK145 Gaming đen,Dareu,keyboard,309000.0,360000.0,51000.0,14.0,,,,phongvu,2026-09-21
190,1703750,Bàn phím Fuhlen L411 (Đen),Fuhlen,keyboard,199000.0,199000.0,0.0,0.0,,,,phongvu,2026-09-21
5243,1703782,Bàn phím Newmen E340 đen,Newmen,keyboard,160000.0,160000.0,0.0,0.0,,,,phongvu,2026-09-21
23471,1800231,Bàn Phím Dareu LK135 Gaming (Đen),Dareu,keyboard,199000.0,199000.0,0.0,0.0,,,,phongvu,2026-09-21
