product_id,sku,connection_type,keyboard_type,switch_type,layout,backlight
7438,1202903,,,,,
4288,1202937,,,,,
8211,1202938,,,,,
9080,1503133,Wireless,,,,
9088,1503243,Bluetooth,,,,
9569,1602542,,,,,
3139,1701205,,,,,
6583,1703677,,Mechanical,,,
6584,1703678,,Mechanical,Optical Switch,,
6992,1703737,,,,,
190,1703750,,,,,
5243,1703782,,,,,
23471,1800231,,,,,
33008,1808294,,,,,
34840,1810781,,Mechanical,Red Switch,,
37310,18110029,,,,,
40504,19040963,,Mechanical,D Switch,,RGB
40504,19040964_SUB_1,,Mechanical,D Switch,,RGB
41106,19050529,,Mechanical,,,
69040,200300352,,Mechanical,,,
69040,200300353,,Mechanical,,,
67249,200600655,,Mechanical,Switch Blue,,LED
69040,200700097,,Mechanical,,,
80759,201000932,,,,,
149445,210200598,Wireless,,,,
149445,210200599,Wireless,,,,
296793,210700023,Wireless,Mechanical,,,
296793,210700024,Wireless,Mechanical,,,
296793,210700025,Wireless,Mechanical,,,
386914,211000720,,Mechanical,,,RGB
386914,211000721,,Mechanical,OPX Switch,,RGB
390609,211003699,Wireless,,,,
390609,211003701,Wireless,,,,
390612,211003702,Wireless,,,,
411429,220100318,Wireless,Mechanical,White Switch,,
411429,220100319,Wireless,Mechanical,Red Switch,,
411429,220100320,Wireless,Mechanical,Yellow Switch,,
411431,220100321,Wireless,Mechanical,Axis Switch,,
411431,220100323,Wireless,Mechanical,Axis Switch,,
411431,220100324,Wireless,Mechanical,Axis Switch,,
414146,220103958,,Mechanical,Tactile Switch,,
414147,220103959,,Mechanical,Tactile Switch,TKL,
440587,220700067,Wireless,,,,
442517,220706624,,,,,
447749,220805960,Wireless,Mechanical,Red Switch,,
447752,220805963,Wireless,,,,
447752,220805964,Wireless,,,,
465769,221002611,,Mechanical,Green Switch,,
465773,221002615,,Mechanical,,,
465780,221002622,,Mechanical,,,
465800,221002642,,,,,
466959,221003457,,,,,RGB
470945,221201649,,Mechanical,,,
471118,221201855,Wireless,Mechanical,Purple Switch,,
471118,221201856,Wireless,Mechanical,Red Switch,,
471118,221201857,Wireless,Mechanical,Yellow switch,,
498444,230105816,,,,,
396961,230202445,,,Optical switch,,
502541,230203658,,Mechanical,,,
502543,230203660,,,,,RGB
502548,230203665,,Mechanical,D Switch,,RGB
504681,230300020,,,Optical switch,,
507354,230302897,Wired,,Aqua Switch,,
507354,230302898,Wired,,Red Switch,,
508392,230304552,,,,,RGB
510987,230401900,Wired,Mechanical,Yellow Switch,,
510987,230401901,Wired,Mechanical,Green Switch,,
516743,230603109,Wireless,Mechanical,AKKO switch,,
516743,230603110,Wireless,Mechanical,AKKO switch,,
516747,230603113,Wireless,Mechanical,AKKO switch,,
516747,230603114,Wireless,Mechanical,AKKO switch,,
516749,230603115,Wireless,Mechanical,AKKO switch,,
516749,230603116,Wireless,Mechanical,AKKO switch,,
517166,230603463,,,,,
517899,230604096,Wired,,,,
519628,230701233,"Bluetooth, Wireless",,,,
519628,230701234,"Bluetooth, Wireless",,,,
523431,230800431,,Mechanical,Green Switch,,
523431,230800432,,Mechanical,Yellow Switch,,
523433,230800433,,Mechanical,Green Switch,,
523433,230800434,,Mechanical,Yellow Switch,,
527659,230901160,Wireless,Mechanical,,,
528779,230903453,"Bluetooth, Wireless",,,,
528779,230903454,"Bluetooth, Wireless",,,,
528779,230903455,"Bluetooth, Wireless",,,,
528783,230903458,Wireless,Mechanical,,Tkl,
528783,230903459,Wireless,Mechanical,,Tkl,
531646,231002801,"Bluetooth, Wireless",,,,
531646,231002802,"Bluetooth, Wireless",,,,
531668,231002823,,Mechanical,,,RGB
532962,231004191,"Wireless, Wired",,Red Switch,,LED
534836,231101830,Wireless,Mechanical,Dream switch,,
534860,231101853,,Mechanical,Red Switch,,
534860,231101854,,Mechanical,Blue Switch,,
534860,231101855,,Mechanical,Red Switch,,
534860,231101856,,Mechanical,Blue Switch,,
534862,231101857,,Mechanical,Blue Switch,,
534862,231101858,,Mechanical,Red Switch,,
535485,231103018,,,,,RGB
535498,231103025,Wireless,,,,
535498,231103026,Wireless,,,,
