product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
464239,220920819,,,,,,
465607,221002177,AMD Ryzen 7,,,,,
467997,221100518,,,,,,
468527,221101138,,,,,,
468528,221101139,,,,,,
504990,230300348,AMD Ryzen 5,,,,,
512788,230402640,,,,,,
518251,230700540,,,,,,
589797,241101675,,32.0,2048.0,,,
616759,250201008,,16.0,512.0,,,
628302,250308176,AMD Ryzen 7,,,,,
629004,250308877,,16.0,512.0,,,
632598,250400647,Snapdragon X1P 42 100,16.0,512.0,,,
641641,250409681,,16.0,512.0,,,
646217,250414090,,16.0,512.0,,,
646221,250414094,,16.0,1024.0,,,
647858,250415718,,,,,,
666265,250512246,,16.0,512.0,,,
673058,250517378,,16.0,512.0,,,
715435,250637377,,16.0,512.0,,,
719814,250640718,,32.0,1024.0,,,
719821,250640725,,32.0,1024.0,,,
719828,250640733,Snapdragon X1P 64 100,16.0,512.0,,,
722302,250643177,,16.0,512.0,,,
722301,250643178,,32.0,512.0,,,
724633,250645445,,,,,,
755363,250716126,,16.0,512.0,,,
755383,250716146,,8.0,512.0,,,
759277,250719798,,16.0,512.0,,,
759342,250719864,Snapdragon X X1 26 100,16.0,512.0,,,
759355,250719877,Snapdragon X X1 26 100,16.0,512.0,,,
759364,250719886,,16.0,512.0,,,
762657,250800189,,16.0,512.0,,,
763965,250801472,,16.0,512.0,,,
765771,250803168,,16.0,512.0,,,
765814,250803209,,16.0,1024.0,,,
765850,250803244,,16.0,512.0,,,
767015,250804402,,,,,,
767101,250804488,,,,,,
767291,250804678,,,,,,
767359,250804746,,,,,,
767371,250804758,,,,,,
767386,250804766,AMD Ryzen 7,,,,,
772401,250809136,,16.0,1024.0,,,
773076,250900507,,16.0,512.0,,,
775160,250902465,,16.0,512.0,,,
775161,250902466,,16.0,512.0,,,
775164,250902468,,16.0,512.0,,,
775170,250902473,,16.0,512.0,,,
775171,250902474,,32.0,512.0,,,
775175,250902478,,16.0,512.0,,,
776757,250904062,,,,,,
776864,250904169,,,,,,
776943,250904247,,,,,,
780986,250908221,,16.0,1024.0,,,
780994,250908233,,16.0,512.0,,,
784534,250911676,,16.0,512.0,,,
788539,251001972,,16.0,1024.0,,,
788558,251001992,,16.0,1024.0,,,
788565,251001999,,16.0,1024.0,,,
788575,251002010,,32.0,512.0,,,
788581,251002014,,32.0,512.0,,,
788585,251002018,,32.0,512.0,,,
788717,251002166,,,,,,
788798,251002247,,,,,,
788801,251002250,,,,,,
800642,251012466,,16.0,512.0,,,
800654,251012474,,16.0,512.0,,,
801032,251012819,,16.0,512.0,,,
807326,251017439,,16.0,512.0,,,
809533,251019398,,16.0,512.0,,,
811358,251100594,,,,,,
811361,251100597,,,,,,
811454,251100690,,,,,,
811462,251100698,,,,,,
811485,251100721,,,,,,
811497,251100733,AMD Ryzen 7,,,,,
811695,251100923,,16.0,512.0,,,
811698,251100924,,16.0,1024.0,,,
811697,251100926,,16.0,512.0,,,
815145,251104418,,16.0,512.0,,,
817201,251106306,,16.0,512.0,,,
817204,251106310,,16.0,1024.0,,,
818400,251107244,,16.0,512.0,,,
818414,251107254,,16.0,1024.0,,,
820541,251109448,,16.0,512.0,,,
820547,251109453,,16.0,512.0,,,
820548,251109456,,24.0,512.0,,,
820550,251109457,,16.0,512.0,,,
824406,251113271,,16.0,512.0,,,
824662,251113506,,32.0,512.0,,,
828040,251202421,,32.0,2048.0,,,
829451,251203613,,,,,,
829471,251203633,,,,,,
829491,251203653,AMD Ryzen 7,,,,,
829515,251203677,,,,,,
829530,251203692,,,,,,
829535,251203697,,,,,,
829552,251203714,,,,,,
829685,251203847,,,,,,
829704,251203866,,,,,,
829722,251203884,,,,,,
829751,251203913,,,,,,
829757,251203919,,,,,,
829761,251203923,,,,,,
829763,251203925,,,,,,
829820,251203982,,,,,,
829827,251203989,,,,,,
832141,251206294,,16.0,512.0,,,
833426,251207551,,16.0,512.0,,,
833436,251207558,,16.0,512.0,,,
833439,251207559,,16.0,512.0,,,
834866,251208700,,32.0,1024.0,,,
834867,251208701,,16.0,512.0,,,
834868,251208702,,16.0,1024.0,,,
837900,251211508,,16.0,512.0,,,
840016,260101199,,16.0,1024.0,,,
840015,260101201,,16.0,1024.0,,,
840014,260101203,,16.0,512.0,,,
840876,260102037,,16.0,512.0,,,
840916,260102080,,16.0,512.0,,,
840924,260102090,,16.0,512.0,,,
840939,260102100,,16.0,512.0,,,
844008,260105198,,,,,,
844025,260105215,,,,,,
844060,260105250,,,,,,
844062,260105252,,,,,,
844071,260105261,,,,,,
844149,260105339,,,,,,
844304,260105494,,,,,,
844311,260105501,,,,,,
844314,260105504,,,,,,
844315,260105505,,,,,,
844326,260105516,,,,,,
844435,260105625,,,,,,
844450,260105640,AMD Ryzen 5,,,,,
844454,260105644,,,,,,
844490,260105680,,16.0,512.0,,,
844497,260105689,,16.0,512.0,,,
844515,260105706,,16.0,512.0,,,
844523,260105713,,16.0,512.0,,,
844530,260105720,,16.0,512.0,,,
847838,260108963,,,,,,
847848,260108973,,,,,,
847850,260108975,,,,,,
847866,260108991,,,,,,
847888,260109013,AMD Ryzen 5,,,,,
847920,260109045,,,,,,
848798,260200472,,16.0,512.0,,,
848808,260200477,,16.0,512.0,,,
848813,260200481,,16.0,512.0,,,
849470,260201135,,16.0,512.0,,,
850778,260202421,,16.0,512.0,,,
850781,260202422,,16.0,512.0,,,
850780,260202424,,32.0,1024.0,,,
850866,260202510,,16.0,1024.0,,,
851577,260203204,,24.0,512.0,,,
851580,260203208,,16.0,512.0,,,
851611,260203236,,16.0,512.0,,,
852609,260204231,,16.0,1024.0,,,
853555,260300867,,16.0,512.0,,,
853651,260300963,,,,,,
853732,260301044,,,,,,
853764,260301076,,,,,,
853767,260301079,,,,,,
853778,260301090,,,,,,
853781,260301093,,,,,,
854333,260301642,,16.0,512.0,,,
854340,260301649,,16.0,512.0,,,
854356,260301668,,8.0,512.0,,,
854366,260301675,,16.0,512.0,,,
854378,260301687,,16.0,512.0,,,
855327,260302468,,16.0,512.0,,,
855336,260302474,,16.0,1024.0,,,
855344,260302478,,32.0,1024.0,,,
855353,260302484,,32.0,1024.0,,,
855365,260302495,,16.0,512.0,,,
855378,260302507,,16.0,512.0,,,
855380,260302512,,16.0,512.0,,,
855385,260302514,,32.0,512.0,,,
855390,260302518,,16.0,512.0,,,
855396,260302524,,16.0,512.0,,,
855399,260302527,,16.0,512.0,,,
855401,260302528,,16.0,512.0,,,
855405,260302532,,32.0,512.0,,,
856162,260303285,,16.0,512.0,,,
856586,260303603,,32.0,1024.0,,,
856587,260303605,,32.0,1024.0,,,
856850,260303867,,16.0,512.0,,,
856851,260303868,,16.0,512.0,,,
857087,260304104,,16.0,512.0,,,
857541,260304532,,16.0,512.0,,,
858122,260305106,,,,,,
858545,260305528,,16.0,512.0,,,
858648,260305633,,16.0,512.0,,,
858649,260305634,,32.0,1024.0,,,
858657,260305640,,16.0,512.0,,,
858664,260305647,,16.0,512.0,,,
858690,260305673,,16.0,512.0,,,
858707,260305688,,16.0,1024.0,,,
858706,260305689,,16.0,512.0,,,
858705,260305690,,16.0,512.0,,,
860348,260400568,,16.0,512.0,,,
862735,260402929,,16.0,512.0,,,
862742,260402938,,16.0,1024.0,,,
864730,260404884,,16.0,512.0,,,
864739,260404891,,16.0,512.0,,,
864746,260404899,,64.0,1024.0,,,
864754,260404909,,16.0,512.0,,,
864764,260404916,,16.0,512.0,,,
864766,260404920,,16.0,512.0,,,
864773,260404925,,16.0,512.0,,,
864775,260404927,,32.0,1024.0,,,
866687,260406734,Intel Core Ultra 9,64.0,2048.0,RTX 5090,,
867178,260407198,,16.0,512.0,,,
867188,260407204,,32.0,512.0,,,
867189,260407205,,16.0,512.0,,,
867195,260407211,,32.0,512.0,,,
867196,260407212,,16.0,512.0,,,
867202,260407220,,32.0,512.0,,,
867211,260407231,,8.0,512.0,,,
867222,260407237,,16.0,512.0,,,
867221,260407238,,16.0,512.0,,,
867231,260407247,,16.0,512.0,,,
867729,260407624,,16.0,512.0,,,
867731,260407626,,16.0,512.0,,,
867732,260407627,,24.0,512.0,,,
867884,260407771,,16.0,512.0,,,
869599,260501439,Snapdragon X X1 26 100,16.0,512.0,,,
869634,260501467,,32.0,1024.0,,,
869634,260501475,,32.0,1024.0,,,
869645,260501485,,16.0,512.0,,,
869730,260501570,,,,,,
869739,260501579,,,,,,
869814,260501654,,,,,,
869858,260501698,,,,,,
869860,260501700,,,,,,
869865,260501705,,,,,,
869883,260501723,,,,,,
869891,260501731,,,,,,
869892,260501732,,,,,,
869910,260501750,,,,,,
869911,260501751,,,,,,
869916,260501756,,,,,,
869921,260501761,,,,,,
869927,260501767,,,,,,
869936,260501776,,,,,,
869946,260501786,,,,,,
869949,260501789,,,,,,
869950,260501790,,,,,,
869955,260501795,AMD Ryzen 5,,,,,
869975,260501815,,,,,,
869977,260501817,,,,,,
870037,260501877,,,,,,
870039,260501879,,,,,,
870040,260501880,,,,,,
870052,260501892,,,,,,
870454,260502319,,16.0,512.0,,,
870453,260502320,,8.0,512.0,,,
870458,260502321,,16.0,512.0,,,
870455,260502322,,16.0,512.0,,,
870457,260502324,,16.0,512.0,,,
870456,260502325,,16.0,512.0,,,
870460,260502326,,16.0,512.0,,,
872079,260503899,,16.0,512.0,,,
872092,260503906,,16.0,512.0,,,
872099,260503913,,16.0,512.0,,,
872106,260503920,,16.0,512.0,,,
872113,260503930,,16.0,512.0,,,
872132,260503946,,16.0,512.0,,,
875463,260507122,Snapdragon X2 Elite X2E88100,32.0,1024.0,,,
875472,260507128,,16.0,512.0,,,
875473,260507129,,32.0,1024.0,,,
875479,260507135,,16.0,1024.0,,,
875480,260507136,,64.0,2048.0,,,
875482,260507140,,16.0,512.0,,,
875486,260507143,,32.0,1024.0,,,
875493,260507150,Snapdragon X2 Elite X2E88100,16.0,512.0,,,
875495,260507152,,16.0,512.0,,,
876676,260508270,,32.0,512.0,,,
876967,260508562,,16.0,512.0,,,
876999,260508594,,16.0,1024.0,,,
877868,260600361,,16.0,512.0,,,
878537,260600939,,16.0,512.0,,,
878550,260600946,,16.0,512.0,,,
878557,260600953,,8.0,512.0,,,
878573,260600971,,16.0,512.0,,,
879834,260602203,,16.0,512.0,,,
879841,260602215,,32.0,1024.0,,,
880003,260602380,,32.0,1024.0,,,
880005,260602383,,32.0,1024.0,,,
880004,260602384,,32.0,1024.0,,,
880017,260602400,,16.0,512.0,,,
880022,260602401,,16.0,512.0,,,
880029,260602407,,16.0,512.0,,,
880028,260602408,,16.0,1024.0,,,
880030,260602409,,16.0,512.0,,,
880031,260602411,,16.0,512.0,,,
880040,260602419,,16.0,512.0,,,
880042,260602423,,16.0,512.0,,,
880044,260602424,,16.0,512.0,,,
880047,260602427,,8.0,512.0,,,
880050,260602429,,16.0,512.0,,,
880051,260602430,,16.0,512.0,,,
880052,260602432,,16.0,512.0,,,
880055,260602434,,8.0,512.0,,,
880056,260602435,,16.0,512.0,,,
880057,260602436,,32.0,512.0,,,
880058,260602437,,16.0,512.0,,,
880059,260602438,,16.0,512.0,,,
880060,260602439,,16.0,512.0,,,
880546,260602916,,16.0,512.0,,,
880542,260602917,,16.0,512.0,,,
880543,260602918,,32.0,512.0,,,
880544,260602919,,16.0,1024.0,,,
880545,260602920,,16.0,512.0,,,
880689,260603062,,16.0,512.0,,,
880702,260603076,,16.0,512.0,,,
880705,260603078,,32.0,1024.0,,,
880711,260603084,,16.0,512.0,,,
880713,260603086,,8.0,512.0,,,
880974,260603319,,8.0,512.0,,,
880975,260603320,,16.0,512.0,,,
881230,260603575,,16.0,512.0,,,
882029,260700542,,,,,,
883268,260701722,,24.0,512.0,,,
883280,260701729,,32.0,512.0,,,
883285,260701732,,32.0,1024.0,,,
883286,260701733,,32.0,1024.0,,,
883291,260701736,,32.0,1024.0,,,
883292,260701737,,16.0,512.0,,,
883295,260701739,,16.0,512.0,,,
883296,260701740,,16.0,512.0,,,
883299,260701747,,16.0,512.0,,,
883309,260701754,,8.0,512.0,,,
883317,260701761,,16.0,512.0,,,
883323,260701768,,16.0,512.0,,,
883330,260701774,,16.0,512.0,,,
883332,260701776,,16.0,512.0,,,
