product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
1729,1404339,19.5,,60.0,TN,5.0
7442,1502539,19.5,,60.0,TN,5.0
7442,1503218,18.5,,60.0,TN,5.0
7442,1600185,21.5,Full HD,60.0,TN,5.0
7405,1601383,23.5,Full HD,60.0,PLS,4.0
1881,1602072,27.0,Full HD,60.0,VA,4.0
34842,1810783,19.5,,60.0,TN,5.0
38053,18120287,23.8,Full HD,75.0,IPS,5.0
39568,19040030,27.0,Full HD,60.0,VA,4.0
644035,19060085,27.0,2K,60.0,IPS,5.0
55177,191007010,31.5,,60.0,IPS,5.0
59669,200200451,27.0,Full HD,280.0,IPS,1.0
59779,200200554,23.8,Full HD,75.0,IPS,5.0
60542,200201227,21.5,Full HD,75.0,IPS,5.0
64915,200400872,29.0,,75.0,IPS,5.0
591659,200500537,19.5,,60.0,TN,5.0
39568,200600633,31.5,Full HD,75.0,VA,4.0
644189,200600782,27.0,2K,165.0,VA,1.0
622110,200601200,24.0,,75.0,IPS,5.0
622111,200601201,27.0,2K,75.0,IPS,5.0
69289,200700260,27.0,2K,75.0,IPS,5.0
643807,200700263,21.5,Full HD,60.0,TN,5.0
77255,200900219,27.0,Full HD,75.0,IPS,5.0
128351,201200061,27.0,Full HD,75.0,IPS,8.0
139631,201200062,27.0,Full HD,144.0,IPS,1.0
137427,201201627,34.0,,144.0,VA,1.0
644009,210200899,20.7,Full HD,60.0,TN,5.0
178038,210301233,27.0,,60.0,IPS,5.0
189747,210400403,23.8,2K,75.0,IPS,5.0
205393,210404451,24.0,,,,
205468,210404526,,,,,
220251,210501422,27.0,Full HD,75.0,IPS,5.0
228856,210501811,27.0,Full HD,165.0,VA,1.0
643985,210501844,27.0,2K,170.0,IPS,0.5
228889,210501845,32.0,2K,165.0,IPS,0.8
228891,210501847,31.5,2K,165.0,IPS,1.0
228894,210501849,48.0,,120.0,VA,1.0
229043,210502059,24.5,Full HD,240.0,IPS,1.0
229044,210502060,27.0,Full HD,144.0,IPS,1.0
