product_id,connection_type,keyboard_type,switch_type,layout,backlight
351689,,Tenkeyless (Rút gọn),Akko Stellar Rose Switch,,
326735,,Full size,,,
357643,,Full size,Razer Yellow Mechanical Switches (Linear),,
357642,,Full size,Razer Green Mechanical Switches (Clicky),,
357645,,Tenkeyless (Rút gọn),Razer Mechanical Switches Gen-3 (Tactile),,
342572,,Cỡ 60%,Glare Magnetic,,
342574,,Cỡ 60%,Glare Magnetic,,
279466,,Full size,,,
323008,,Compact (Rút gọn),,,
357640,,Cỡ 75%,Razer Mechanical Switches (Tactile),,
357611,,Full size,Razer Green Mechanical Switches (Clicky),,
359226,,Full size,,,
332194,,Hãng không công bố,,,
342573,,Cỡ 60%,Glare Magnetic,,
361813,,Full size,Purple Gold,,
325540,,Hãng không công bố,Hãng không công bố,,
366045,,Cỡ 75%,Akko v3 Piano,,
344719,,Cỡ 96%,,,
368611,,Cỡ 85%,EDRA Switch,,
361164,,Full size,Hãng không công bố,,
364801,,Tenkeyless (Rút gọn),Mechanical Switch,,
339127,,Tenkeyless (Rút gọn),Scissior,,
362514,,Full size,X-Scissors,,
361810,,Tenkeyless (Rút gọn),Red Switch,,
323001,,Full size,,,
339154,,Full size,Hãng không công bố,,
339121,,Tenkeyless (Rút gọn),DareU Cloud switch,,
338172,,Full size,Hãng không công bố,,
339126,,Full size,Scissior,,
339155,,Tenkeyless (Rút gọn),Switch cơ GL,,
326669,,Cỡ 75%,,,
323006,,Compact (Rút gọn),,,
296791,,Hãng không công bố,Hãng không công bố,,
370116,,layout 98%,Linear,,
368616,,Hãng không công bố,EDRA Red,,
362904,,Cỡ 75% - Low Profile,X-Scissors,,
335495,,Hãng không công bố,Hãng không công bố,,
368626,,Full size,3 triệu lần nhấp (3M),,
368610,,Cỡ 68%,EDRA Switch,,
365035,,Full size,Scissior,,
335494,,Hãng không công bố,Hãng không công bố,,
325816,,,,,
314636,,Full size,,,
368614,,Hãng không công bố,EDRA Linear Custom Switch,,
331851,,1800 - Compact (Rút gọn),Cream Yellow Pro,,
325541,,Hãng không công bố,Hãng không công bố,,
335191,,1800 - Compact (Rút gọn),Red Switch,,
368606,,Hãng không công bố,Switch Life,,
342558,,Cỡ 75%,Cream Yellow Pro,,
339140,,Full size,,,
335543,,QWERTY,,,
362530,,Full size,Membrane giả cơ,,
