product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
343122,,"Laptop Acer Aspire Lite 15 AL15 72P 581V - NX.D4CSV.001 (i5 13500H, 16GB, 512GB, Full HD, Win11)",Acer,laptop,20090000,20990000,900000,4,5.0,1150,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-72p-581v-i5-13500h-nx-d4csv-001,thegioididong,2026-09-21
338323,,"Laptop Asus Vivobook 15 X1504VA - BQ185WS (Core 5 120U, 16GB, 512GB, Full HD, OfficeH24+365, Win11)",Asus,laptop,20090000,20590000,500000,2,5.0,5438,https://www.thegioididong.com/laptop/asus-x1504va-core-5-bq185ws,thegioididong,2026-09-21
363507,,Laptop MacBook Air 15 inch M5 16GB/512GB 70W,MacBook,laptop,41790000,41990000,200000,0,5.0,74,https://www.thegioididong.com/laptop/macbook-air-15-inch-m5-16gb-512gb-70w,thegioididong,2026-09-21
367376,,"Laptop Acer Aspire Lite 15 AL15-49P-R6XX - NX.DRZSV.002 (R5 7430U, 8GB, 512GB, Full HD, Win11)",Acer,laptop,19790000,20990000,1200000,5,5.0,56,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-49p-r6xx-r5-7430u-nx-drzsv-002,thegioididong,2026-09-21
366746,,"Laptop Lenovo IdeaPad Slim 3 15ARP10 - 83K700YUVN (R5 7535HS, 16GB, 512GB, WUXGA, Win11)",Lenovo,laptop,22590000,25990000,3400000,13,4.9,724,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15arp10-r5-7535hs-83k700yuvn,thegioididong,2026-09-21
363263,,"Laptop Acer Aspire Go 15 AG15-72P-500W - NX.JRRSV.007 (Core 5 120U, 16GB, 512GB, Full HD, Win11)",Acer,laptop,21090000,23990000,2900000,12,5.0,144,https://www.thegioididong.com/laptop/acer-aspire-go-15-ag15-72p-500w-core-5-120u-nx-jrrsv-007,thegioididong,2026-09-21
368189,,"Laptop SingPC M16-i382 (i3 1215U, 8GB, 256GB, WUXGA, Win11 Pro)",SingPC,laptop,15190000,,,,5.0,18,https://www.thegioididong.com/laptop/singpc-m16-i382-i3-1215u?utm_flashsale=1,thegioididong,2026-09-21
364859,,"Laptop Dell 15 DC15250 - 71092479 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365B, Win11)",Dell,laptop,23390000,24490000,1100000,4,5.0,544,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-71092479,thegioididong,2026-09-21
337420,,"Laptop HP 245 G10 - B8PF9AT (R5 7530U, 8GB, 512GB, Full HD, Win11)",HP,laptop,20390000,22190000,1800000,8,4.9,6165,https://www.thegioididong.com/laptop/hp-245-g10-r5-b8pf9at,thegioididong,2026-09-21
367375,,"Laptop Acer Aspire Lite 14 AL14-44P-R0SP - NX.DMCSV.003 (R7 7730U, 8GB, 512GB, Full HD+, Win11)",Acer,laptop,22090000,22990000,900000,4,5.0,6,https://www.thegioididong.com/laptop/acer-aspire-lite-14-al14-44p-r0sp-r7-7730u-nx-dmcsv-003,thegioididong,2026-09-21
364397,,"Laptop Asus Vivobook 16 A1607QA - MB067W (X1 26 100, 16GB, 512GB, WUXGA, Win11)",Asus,laptop,20590000,22990000,2400000,10,5.0,444,https://www.thegioididong.com/laptop/asus-vivobook-16-a1607qa-x1-26-100-mb067w,thegioididong,2026-09-21
369212,,"Laptop MSI Modern 15 F1MG-1264VN (Core 5 120U, 16GB, 512GB, Full HD, Win11)",MSI,laptop,20290000,22390000,2100000,9,,,https://www.thegioididong.com/laptop/msi-modern-15-f1mg-1264vn-core-5-120u,thegioididong,2026-09-21
363487,,Laptop MacBook Air 13 inch M5 16GB/512GB/8GPU 70W,MacBook,laptop,35790000,36590000,800000,2,5.0,557,https://www.thegioididong.com/laptop/macbook-air-13-inch-m5-16gb-512gb-70w,thegioididong,2026-09-21
362025,,"Laptop Dell 15 DC15250 - DC5I5897W1 (i5 1334U, 16GB, 512GB, Full HD+ 120Hz, OfficeH24+365, Win11)",Dell,laptop,23390000,24490000,1100000,4,5.0,1950,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc5i5897w1,thegioididong,2026-09-21
355729,,"Laptop HP 240R G10 - C3RU7AT (Core 5 120U, 16GB, 512GB, Full HD, Win11)",HP,laptop,24090000,29090000,5000000,17,4.9,2391,https://www.thegioididong.com/laptop/hp-240r-g10-core-5-120u-c3ru7at,thegioididong,2026-09-21
367016,,"Laptop Lenovo IdeaPad Slim 3 15IPH11 - 83UR00A4VN (Ultra 5 322, 16GB, 512GB, WUXGA, Win11)",Lenovo,laptop,25090000,31990000,6900000,21,5.0,111,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iph11-ultra-5-322-83ur00a4vn,thegioididong,2026-09-21
360295,,"Laptop Acer Gaming Predator Helios Neo 16 AI PHN16 73 757W - NH.QVQSV.001 (Ultra 7 255HX, 32GB, 1TB, RTX 5060 8GB, 2K+ 240Hz, Win11)",Acer,laptop,62390000,62990000,600000,1,5.0,2,https://www.thegioididong.com/laptop/acer-gaming-predator-helios-neo-16-ai-phn16-73-757w-nh-qvqsv-001,thegioididong,2026-09-21
363491,,Laptop MacBook Pro 16 inch M5 Pro 24GB/1TB,MacBook,laptop,80490000,81990000,1500000,2,5.0,56,https://www.thegioididong.com/laptop/macbook-pro-16-inch-m5-pro-24gb-1tb,thegioididong,2026-09-21
369645,,"Laptop Acer Nitro ProPanel ANV15-52-50RB - NH.QUASV.002 (Core 5 210H, 16GB, 512GB, RTX 4050 6GB, Full HD 180Hz, Win11)",Acer,laptop,34890000,37990000,3100000,8,,,https://www.thegioididong.com/laptop/acer-nitro-propanel-anv15-52-50rb-core-5-210h-nh-quasv-002,thegioididong,2026-09-21
366087,,"Laptop Acer Aspire Lite 15 AL15-21P-R91W - NX.DNRSV.002 (R5 40, 16GB, 512GB, Full HD, Win11)",Acer,laptop,22990000,,,,5.0,53,https://www.thegioididong.com/laptop/acer-aspire-lite-15-al15-21p-r91w-r5-40-nx-dnrsv-002,thegioididong,2026-09-21
368192,,"Laptop SingPC M16-i595 (i5 1235U, 16GB, 512GB, WUXGA, Win11 Pro)",SingPC,laptop,18490000,19990000,1500000,7,5.0,2,https://www.thegioididong.com/laptop/singpc-m16-i595-i5-1235u,thegioididong,2026-09-21
362398,,"Laptop HP 15 fd1486TU - D0BH3PA (Ultra 5 125H, 24GB, 512GB, Full HD, Win11)",HP,laptop,25090000,26690000,1600000,5,5.0,650,https://www.thegioididong.com/laptop/hp-15-fd1486tu-ultra-5-125h-d0bh3pa,thegioididong,2026-09-21
368210,,"Laptop Lenovo IdeaPad Slim 3 15IWC11 - 83RR00AAVN (Core 5 320, 16GB, 512GB, WUXGA, Win11)",Lenovo,laptop,23090000,29990000,6900000,23,5.0,464,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iwc11-core-5-320-83rr00aavn,thegioididong,2026-09-21
360690,,"Laptop Dell 14 DC14250 - DC4C5386W (Core 5 120U, 16GB, 512GB, Full HD+, OfficeH24+365, Win11)",Dell,laptop,27390000,29990000,2600000,8,5.0,1241,https://www.thegioididong.com/laptop/dell-14-dc14250-core-5-120u-dc4c5386w,thegioididong,2026-09-21
368656,,"Laptop Acer Gaming Aspire 7 A715-59G-59RD - NH.DXUSV.001 (Core 5 210H, 16GB, 512GB, RTX 3050 4GB, Fulll HD 144Hz, Win11)",Acer,laptop,28390000,31990000,3600000,11,5.0,24,https://www.thegioididong.com/laptop/acer-gaming-aspire-7-a715-59g-59rd-core-5-210h-nh-dxusv-001,thegioididong,2026-09-21
365310,,"Laptop Dell 15 DC15250 - DC15250-i5U165W11SLU-27 (i5 1334U, 16GB, 512GB, Full HD 120Hz, OfficeHS24+365, Win11)",Dell,laptop,23390000,24490000,1100000,4,5.0,1261,https://www.thegioididong.com/laptop/dell-15-dc15250-i5-1334u-dc15250-i5u165w11slu-27,thegioididong,2026-09-21
341267,,"Laptop HP OmniBook 5 AI 16 af1048TU - BZ7Q9PA (Ultra 5 225U, 16GB, 512GB, WUXGA, OfficeH24, Win11)",HP,laptop,26690000,30990000,4300000,13,5.0,726,https://www.thegioididong.com/laptop/hp-omnibook-5-ai-16-af1048tu-ultra-5-225u-bz7q9pa,thegioididong,2026-09-21
368211,,"Laptop Lenovo Ideapad Slim 3 15IWC11 - 83RR00CVVN (Core 5 320, 8GB, 512GB, WUXGA, Win11)",Lenovo,laptop,20290000,25990000,5700000,21,5.0,22,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iwc11-core-5-320-83rr00cvvn,thegioididong,2026-09-21
366090,,"Laptop Acer Aspire Go 15 AG15-52P-52WT - NX.JWKSV.001 (Ultra 5 115U, 16GB, 512GB, Full HD, Win11)",Acer,laptop,24090000,24990000,900000,4,5.0,45,https://www.thegioididong.com/laptop/acer-aspire-go-15-ag15-52p-52wt-ultra-5-115u-nx-jwksv-001,thegioididong,2026-09-21
