product_id,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
343122,Intel Core i5 Raptor Lake - 13500H,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.79
338323,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel Graphics,15.6,1.7
363507,Apple M5 - Hãng không công bố,16,512,Card tích hợp - 10 nhân GPU,15.3,1.51
367376,AMD Ryzen 5 - 7430U,8,512,Card tích hợp - AMD Radeon Graphics,15.6,1.45
366746,AMD Ryzen 5 - 7535HS,16,512,Card tích hợp - AMD Radeon 660M Graphics,15.3,1.59
363263,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.53
368189,Intel Core i3 Alder Lake - 1215U,8,256,Card tích hợp - Intel Graphics,14.0,1.1
364859,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
337420,AMD Ryzen 5 - 7530U,8,512,Card tích hợp - AMD Radeon Graphics,14.0,1.36
367375,AMD Ryzen 7 - 7730U,8,512,Card tích hợp - AMD Radeon 680M Graphics,14.5,1.3
364397,Snapdragon X - X1 26 100,16,512,Card tích hợp - Qualcomm Adreno GPU,16.0,1.88
369212,Intel Core thế hệ 12 - 120U,16,512,Card tích hợp,15.6,1.7
363487,Apple M5,16,512,Card tích hợp - 8 nhân GPU,13.6,1.23
362025,Intel Core i5 Raptor Lake - 1334U,16,512,Card tích hợp - Intel UHD Graphics,15.6,1.65
355729,Intel Core 5 Raptor Lake - 120U,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.402
367016,Intel Core Ultra 5 Panther Lake - 322,16,512,Card tích hợp - Intel Graphics,15.3,1.63
360295,Intel Core Ultra 7 Arrow Lake - 255HX,32,1024,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.7
363491,Apple M5 Pro,24,1024,Card tích hợp - 20 nhân GPU,16.2,2.14
369645,Intel Core 5 Raptor Lake - 210H,16,512,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
366087,AMD Ryzen 5 - 40,16,512,Card tích hợp - AMD Radeon Graphics,15.6,1.45
368192,Intel Core i5 Alder Lake - 1235U,16,512,Card tích hợp - Intel UHD Graphics,14.0,1.1
