record_id,product_id,sku,name,brand,category,price_vnd,old_price_vnd,discount_amount_vnd,discount_percent,rating,review_count,url,source,crawl_date
thegioididong_351689,351689,,Bàn Phím Cơ Bluetooth Akko TAC87 Matcha Red Bean Stellar Rose,Akko,keyboard,1240000.0,1390000.0,150000.0,10.0,5.0,99.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-tac87-matcha-red-bean-stellar-rose,thegioididong,2026-09-21
thegioididong_326735,326735,,Bàn Phím Bluetooth Logitech Signature K650,Logitech,keyboard,985000.0,,,,4.9,830.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-signature-k650,thegioididong,2026-09-21
thegioididong_357643,357643,,Bàn Phím Cơ Có Dây Gaming Razer BlackWidow V4 Pro Yellow Switch,Razer,keyboard,5340000.0,5890000.0,550000.0,9.0,5.0,3.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-gaming-razer-blackwidow-v4-pro-yellow-switch,thegioididong,2026-09-21
thegioididong_357642,357642,,Bàn Phím Cơ Có Dây Gaming Razer BlackWidow V4 Pro Green Switch,Razer,keyboard,4990000.0,5890000.0,900000.0,15.0,5.0,8.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-gaming-razer-blackwidow-v4-pro-green-switch,thegioididong,2026-09-21
thegioididong_357645,357645,,Bàn Phím Cơ Bluetooth Razer BlackWidow V4 Tenkeyless HyperSpeed Orange Tactile Switch,Razer,keyboard,3740000.0,3990000.0,250000.0,6.0,5.0,17.0,https://www.thegioididong.com/ban-phim/ban-phim-razer-blackwidow-v4-tenkeyless-hyperspeed-orange-tactile-switch,thegioididong,2026-09-21
thegioididong_342572,342572,,Bàn Phím Cơ Có Dây Akko FUN60 Pro SP Black Akko Glare Magnetic Switches 5943,Akko,keyboard,600000.0,700000.0,100000.0,14.0,5.0,97.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-akko-fun60-pro-sp-black,thegioididong,2026-09-21
thegioididong_342574,342574,,Bàn Phím Cơ Bluetooth Akko FUN60 Max SP Glare Magnetic Switches,Akko,keyboard,890000.0,1090000.0,200000.0,18.0,5.0,96.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-fun60-max-sp-glare-magnetic-switches,thegioididong,2026-09-21
thegioididong_279466,279466,,Bàn Phím Có Dây Gaming Asus TUF K1,Asus,keyboard,825000.0,970000.0,145000.0,14.0,4.9,1847.0,https://www.thegioididong.com/ban-phim/co-day-gaming-asus-tuf-k1,thegioididong,2026-09-21
thegioididong_323008,323008,,Bàn Phím Bluetooth Logitech K380s,Logitech,keyboard,870000.0,970000.0,100000.0,10.0,4.9,3679.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-k380s,thegioididong,2026-09-21
thegioididong_357640,357640,,Bàn Phím Cơ Có Dây Gaming Razer BlackWidow V4 75% White Edition,Razer,keyboard,3690000.0,4490000.0,800000.0,17.0,5.0,4.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-gaming-razer-blackwidow-v4-75-white-edition,thegioididong,2026-09-21
thegioididong_357611,357611,,Bàn Phím Cơ Có Dây Gaming Razer BlackWidow V4 X Green Switch,Razer,keyboard,2590000.0,3290000.0,700000.0,21.0,4.8,20.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-gaming-razer-blackwidow-v4-x-green-switch,thegioididong,2026-09-21
thegioididong_359226,359226,,Bàn Phím Bluetooth Logitech Slim Solar K980,Logitech,keyboard,2390000.0,2690000.0,300000.0,11.0,5.0,17.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-slim-solar-k980,thegioididong,2026-09-21
thegioididong_332194,332194,,Bàn phím Apple Magic Keyboard USB C Touch ID MXCK3,Apple,keyboard,3490000.0,,,,5.0,196.0,https://www.thegioididong.com/ban-phim/ban-phim-apple-magic-keyboard-usb-c-touch-id-mxck3,thegioididong,2026-09-21
thegioididong_342573,342573,,Bàn Phím Cơ Có Dây Akko FUN60 Pro SP White Akko Glare Magnetic Switches 5936,Akko,keyboard,555000.0,,,,5.0,93.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-akko-fun60-pro-sp-white,thegioididong,2026-09-21
thegioididong_361813,361813,,Bàn Phím Cơ Bluetooth Machenike KG98 RGB Purple-Gold Switch,Machenike,keyboard,1405000.0,1590000.0,185000.0,11.0,5.0,136.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-machenike-kg98-rgb-purple-gold-switch,thegioididong,2026-09-21
thegioididong_325540,325540,,Magic Keyboard cho iPad Pro M4/M5 11 inch,Apple,keyboard,8190000.0,,,,5.0,1070.0,https://www.thegioididong.com/ban-phim/magic-keyboard-cho-ipad-pro-m4-11-inch,thegioididong,2026-09-21
thegioididong_366045,366045,,Bàn Phím Cơ Bluetooth Akko 5075 V3 Akko Piano,Akko,keyboard,835000.0,,,,5.0,88.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-5075-v3-akko-piano,thegioididong,2026-09-21
thegioididong_344719,344719,,Bàn Phím Có Dây Gaming Rapoo V50s 98,Rapoo,keyboard,295000.0,,,,4.9,1265.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-gaming-rapoo-v50s-98,thegioididong,2026-09-21
thegioididong_368611,368611,,Bàn Phím Cơ Bluetooth EDRA EK375S,EDRA,keyboard,515000.0,,,,5.0,9.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-edra-ek375s?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_361164,361164,,Bàn Phím Bluetooth Philips SPK6407,Philips,keyboard,335000.0,,,,5.0,200.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-philips-spk6407,thegioididong,2026-09-21
thegioididong_364801,364801,,Bàn Phím Cơ Có Dây Rapoo V501 87,Rapoo,keyboard,390000.0,,,,5.0,262.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-rapoo-v501-87,thegioididong,2026-09-21
thegioididong_339127,339127,,Bàn Phím Bluetooth Dareu LK160D,DareU,keyboard,520000.0,590000.0,70000.0,11.0,5.0,3015.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-dareu-lk160d?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_362514,362514,,Bàn Phím Bluetooth HyperWork SilentKey,HyperWork,keyboard,790000.0,825000.0,35000.0,,5.0,153.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-hyperwork-silentkey,thegioididong,2026-09-21
thegioididong_361810,361810,,Bàn Phím Cơ Có Dây Machenike K500B B87 Wired Red switch LED Backlit,Machenike,keyboard,590000.0,610000.0,20000.0,,5.0,420.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-machenike-k500b-b87-wired-red-switch-led-backlit,thegioididong,2026-09-21
thegioididong_323001,323001,,Bàn Phím Có Dây Logitech K120,Logitech,keyboard,160000.0,195000.0,35000.0,17.0,4.9,57434.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-logitech-k120,thegioididong,2026-09-21
thegioididong_339154,339154,,Bàn Phím Cơ Có Dây Logitech G413 SE,Logitech,keyboard,1705000.0,1855000.0,150000.0,8.0,5.0,110.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-logitech-g413-se,thegioididong,2026-09-21
thegioididong_339121,339121,,Bàn Phím Cơ Bluetooth Dareu EK87 Pro,DareU,keyboard,1260000.0,1460000.0,200000.0,13.0,5.0,171.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-dareu-ek87-pro?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_338172,338172,,Bộ Bàn Phím Chuột Không Dây Philips SPT6348,Philips,keyboard,430000.0,540000.0,110000.0,20.0,4.9,833.0,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-khong-day-philips-spt6348,thegioididong,2026-09-21
thegioididong_339126,339126,,Bàn Phím Bluetooth Dareu LK150D,DareU,keyboard,555000.0,590000.0,35000.0,5.0,4.9,868.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-dareu-lk150d?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_339155,339155,,Bàn Phím Cơ Bluetooth Logitech G515,Logitech,keyboard,2690000.0,,,,5.0,22.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-logitech-g515,thegioididong,2026-09-21
thegioididong_326669,326669,,Bàn Phím Bluetooth Asus Marshmallow KW100,Asus,keyboard,720000.0,970000.0,250000.0,25.0,4.9,1214.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-asus-marshmallow-kw100?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_323006,323006,,Bộ Bàn Phím Chuột Không Dây Logitech MK240,Logitech,keyboard,570000.0,590000.0,20000.0,,4.9,3972.0,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-khong-day-logitech-mk240,thegioididong,2026-09-21
thegioididong_296791,296791,,Bao Da Bàn Phím Magic Keyboard US iPad Gen 10/iPad A16 Apple MQDP3,Apple,keyboard,6890000.0,,,,5.0,357.0,https://www.thegioididong.com/ban-phim/magic-keyboard-folio-for-ipad,thegioididong,2026-09-21
thegioididong_370116,370116,,Bàn Phím Cơ Có Dây Logitech G316 X 98,Logitech,keyboard,1990000.0,2290000.0,300000.0,13.0,,,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-logitech-g316-x-98,thegioididong,2026-09-21
thegioididong_368616,368616,,Bàn Phím Cơ Bluetooth EDRA EK368WT,EDRA,keyboard,595000.0,,,,,,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-edra-ek368wt,thegioididong,2026-09-21
thegioididong_362904,362904,,Bàn Phím Bluetooth HyperWork HyperOne Gen 3,HyperWork,keyboard,845000.0,900000.0,55000.0,6.0,5.0,216.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-hyperwork-hyperone-gen-3,thegioididong,2026-09-21
thegioididong_335495,335495,,Bàn phím Apple Magic Keyboard iPad Air 13 inch,Apple,keyboard,8190000.0,,,,5.0,250.0,https://www.thegioididong.com/ban-phim/ban-phim-apple-magic-keyboard-ipad-air-13-inch,thegioididong,2026-09-21
thegioididong_368626,368626,,Bộ Bàn Phím Chuột Không Dây EDRA EC802W,EDRA,keyboard,395000.0,,,,,,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-bluetooth-edra-ec802w,thegioididong,2026-09-21
thegioididong_368610,368610,,Bàn Phím Cơ Bluetooth EDRA EK368S,EDRA,keyboard,490000.0,600000.0,110000.0,18.0,5.0,5.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-edra-ek368s,thegioididong,2026-09-21
thegioididong_365035,365035,,Bàn Phím Bluetooth Dareu LK165D,DareU,keyboard,400000.0,570000.0,170000.0,29.0,5.0,148.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-dareu-lk165d,thegioididong,2026-09-21
thegioididong_335494,335494,,Bàn phím Apple Magic Keyboard iPad Air 11 inch,Apple,keyboard,7690000.0,,,,5.0,466.0,https://www.thegioididong.com/ban-phim/ban-phim-apple-magic-keyboard-ipad-air-11-inch,thegioididong,2026-09-21
thegioididong_325816,325816,,Bàn Phím iPad Logitech Combo Touch Gen 10TH/A16,Logitech,keyboard,3520000.0,4320000.0,800000.0,18.0,5.0,215.0,https://www.thegioididong.com/ban-phim/ban-phim-ipad-logitech-combo-touch-gen-10th,thegioididong,2026-09-21
thegioididong_314636,314636,,Bàn Phím Có Dây Gaming Rapoo V50S,Rapoo,keyboard,285000.0,385000.0,100000.0,25.0,4.9,6721.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-gaming-rapoo-v50s,thegioididong,2026-09-21
thegioididong_368614,368614,,Bàn Phím Cơ Không Dây EDRA EK368WA,EDRA,keyboard,490000.0,600000.0,110000.0,18.0,5.0,13.0,https://www.thegioididong.com/ban-phim/ban-phim-co-khong-day-edra-ek368wa,thegioididong,2026-09-21
thegioididong_331851,331851,,Bàn Phím Cơ Có Dây Akko 3098 Neon,Akko,keyboard,870000.0,970000.0,100000.0,10.0,5.0,397.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-akko-3098-neon,thegioididong,2026-09-21
thegioididong_325541,325541,,Magic Keybroad cho iPad Pro M4/M5 13 inch,Apple,keyboard,9590000.0,,,,5.0,659.0,https://www.thegioididong.com/ban-phim/magic-keybroad-cho-ipad-pro-m4-13-inch,thegioididong,2026-09-21
thegioididong_335191,335191,,Bàn Phím Cơ Có Dây Rapoo V500 Pro 98,Rapoo,keyboard,525000.0,,,,4.9,407.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-rapoo-v500-pro-98,thegioididong,2026-09-21
thegioididong_368606,368606,,Bàn Phím Có Dây EDRA EK506,EDRA,keyboard,150000.0,195000.0,45000.0,23.0,5.0,103.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-edra-ek506,thegioididong,2026-09-21
thegioididong_342558,342558,,Bàn Phím Cơ Bluetooth Akko 5075B Plus Black & Gold,Akko,keyboard,1290000.0,1490000.0,200000.0,13.0,5.0,107.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-5075b-plus-black-gold,thegioididong,2026-09-21
thegioididong_339140,339140,,Bộ Bàn Phím Chuột Bluetooth Logitech Signature Slim MK950,Logitech,keyboard,2370000.0,2540000.0,170000.0,6.0,5.0,78.0,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-bluetooth-logitech-signature-slim-mk950,thegioididong,2026-09-21
thegioididong_335543,335543,,Bàn Phím Tablet Xiaomi Pad 7 / 7 Pro,Xiaomi,keyboard,2790000.0,3425000.0,635000.0,18.0,5.0,88.0,https://www.thegioididong.com/ban-phim/ban-phim-tablet-xiaomi-pad-7-7-pro,thegioididong,2026-09-21
thegioididong_362530,362530,,Bộ Bàn Phím Chuột Không Dây MicroPack KM-205W,MICROPACK,keyboard,450000.0,,,,5.0,27.0,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-khong-day-micropack-km-205w,thegioididong,2026-09-21
thegioididong_361811,361811,,Bàn Phím Cơ Bluetooth Machenike K600E B87W GR Silver switch RGB Side Printed,Machenike,keyboard,1195000.0,,,,5.0,27.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-machenike-k600e-b87w-gr-silver-switch-rgb,thegioididong,2026-09-21
thegioididong_339152,339152,,Bàn Phím Cơ Có Dây Logitech G413 TKL SE,Logitech,keyboard,1390000.0,,,,5.0,25.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-logitech-g413-tkl-se,thegioididong,2026-09-21
thegioididong_332195,332195,,Bàn Phím Apple Magic Keyboard USB C Touch ID có phím số,Apple,keyboard,4190000.0,,,,5.0,174.0,https://www.thegioididong.com/ban-phim/ban-phim-apple-magic-keyboard-usb-c-touch-id-co-phim-so,thegioididong,2026-09-21
thegioididong_368608,368608,,Bàn Phím Bluetooth EDRA EK507,EDRA,keyboard,405000.0,690000.0,285000.0,41.0,,,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-edra-ek507,thegioididong,2026-09-21
thegioididong_365034,365034,,Bàn Phím Cơ Bluetooth Dareu EK75 Pro Cloudy Aqua,DareU,keyboard,1090000.0,1190000.0,100000.0,8.0,5.0,57.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-dareu-ek75-pro-cloudy-aqua?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_361558,361558,,Bàn Phím Bluetooth Keychron B1P-K2 Pro,Keychron,keyboard,655000.0,,,,5.0,5.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-keychron-b1p-k2-pro,thegioididong,2026-09-21
thegioididong_351682,351682,,Bàn Phím Cơ Có Dây Akko TAC87 Black&Gold Mirror,Akko,keyboard,960000.0,990000.0,30000.0,,4.9,128.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-akko-tac87-black-gold-mirror,thegioididong,2026-09-21
thegioididong_339147,339147,,Bàn Phím Bluetooth Logitech MX Keys Mini,Logitech,keyboard,2735000.0,2935000.0,200000.0,6.0,5.0,57.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-mx-keys-mini,thegioididong,2026-09-21
thegioididong_328212,328212,,Bàn Phím Bluetooth Logitech Keys-To-Go 2,Logitech,keyboard,1745000.0,2245000.0,500000.0,22.0,5.0,382.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-key-to-go-2,thegioididong,2026-09-21
thegioididong_362476,362476,,Bàn Phím Có Dây MicroPack K206,MICROPACK,keyboard,235000.0,,,,5.0,19.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-micropack-k206,thegioididong,2026-09-21
thegioididong_314635,314635,,Bàn Phím Cơ Bluetooth DareU EK75 Pro,DareU,keyboard,1065000.0,1265000.0,200000.0,15.0,4.9,743.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-dareu-ek75-pro?utm_flashsale=1,thegioididong,2026-09-21
thegioididong_366044,366044,,Bàn Phím Cơ Bluetooth Akko 5075 V3 Gradient Akko Frost Pink,Akko,keyboard,1000000.0,1190000.0,190000.0,15.0,5.0,24.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-5075-v3-gradient-akko-frost-pink,thegioididong,2026-09-21
thegioididong_351687,351687,,Bàn Phím Cơ Bluetooth Akko TAC87 Black&Gold Mirror 3,Akko,keyboard,1335000.0,1390000.0,55000.0,,5.0,59.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-tac87-black-gold-mirror-3,thegioididong,2026-09-21
thegioididong_342570,342570,,Bàn Phím Cơ Có Dây Akko TAC75 AstroAim Magnetic Switch,Akko,keyboard,1055000.0,,,,5.0,7.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-akko-tac75-astroaim-magnetic-switch,thegioididong,2026-09-21
thegioididong_339151,339151,,Bàn Phím Cơ Có Dây Logitech G512 Carbon Mechanical,Logitech,keyboard,2190000.0,2440000.0,250000.0,10.0,5.0,53.0,https://www.thegioididong.com/ban-phim/ban-phim-co-co-day-logitech-g512-carbon-mechanical,thegioididong,2026-09-21
thegioididong_339148,339148,,Bàn Phím Bluetooth Logitech MX Keys S,Logitech,keyboard,2660000.0,3325000.0,665000.0,20.0,5.0,102.0,https://www.thegioididong.com/ban-phim/ban-phim-bluetooth-logitech-mx-keys-s,thegioididong,2026-09-21
thegioididong_339122,339122,,Bàn Phím Cơ Bluetooth Dareu EK98 Pro,DareU,keyboard,1460000.0,1560000.0,100000.0,6.0,5.0,164.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-dareu-ek98-pro,thegioididong,2026-09-21
thegioididong_337341,337341,,Bàn Phím Cơ Bluetooth Asus ROG Azoth Wireless Mechanical Gaming Storm,Asus,keyboard,5990000.0,,,,5.0,6.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-asus-rog-azoth-wireless-mechanical-gaming-storm,thegioididong,2026-09-21
thegioididong_337339,337339,,Bàn Phím Cơ Bluetooth Asus ROG Azoth Wireless Mechanical Gaming Snow,Asus,keyboard,5990000.0,,,,5.0,18.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-asus-rog-azoth-wireless-mechanical-gaming-snow,thegioididong,2026-09-21
thegioididong_335542,335542,,Bàn Phím Tablet Xiaomi Pad 7 / 7 Pro Focus,Xiaomi,keyboard,4745000.0,4895000.0,150000.0,,5.0,67.0,https://www.thegioididong.com/ban-phim/ban-phim-tablet-xiaomi-pad-7-7-pro-focus,thegioididong,2026-09-21
thegioididong_328229,328229,,Bàn Phím Cơ Có Dây Gaming Corsair K70 CORE-BLK-CRSR MX-RGB,Corsair,keyboard,2310000.0,2610000.0,300000.0,11.0,5.0,37.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-gaming-corsair-k70-core-blk-crsr-mx-rgb,thegioididong,2026-09-21
thegioididong_328228,328228,,Bàn Phím Có Dây Gaming Corsair K55 CORE RGB,Corsair,keyboard,970000.0,1080000.0,110000.0,10.0,4.9,154.0,https://www.thegioididong.com/ban-phim/ban-phim-co-day-gaming-corsair-k55-core-rgb,thegioididong,2026-09-21
thegioididong_328174,328174,,Bàn Phím iPad Pro Logitech Combo Touch 11 inch M4/M5,Logitech,keyboard,5885000.0,6185000.0,300000.0,,5.0,46.0,https://www.thegioididong.com/ban-phim/ban-phim-ipad-pro-logitech-combo-touch-11inch-m4,thegioididong,2026-09-21
thegioididong_322597,322597,,Bàn Phím Có Dây Gaming Zadez G-850K,Zadez,keyboard,335000.0,385000.0,50000.0,12.0,4.9,3896.0,https://www.thegioididong.com/ban-phim/ba-n-phi-m-co-day-gaming-zadez-g-850k,thegioididong,2026-09-21
thegioididong_362472,362472,,Bộ Bàn Phím Chuột Không Dây MicroPack KM-237W - Xanh,MICROPACK,keyboard,635000.0,,,,5.0,4.0,https://www.thegioididong.com/ban-phim/bo-ban-phim-chuot-khong-day-micropack-km-237w-xanh,thegioididong,2026-09-21
thegioididong_337870,337870,,Bàn Phím Cơ Bluetooth Akko 5098B Green Ink Ice Cream Pink,Akko,keyboard,1890000.0,,,,5.0,76.0,https://www.thegioididong.com/ban-phim/ban-phim-co-bluetooth-akko-5098b-green-ink-ice-cream-pink,thegioididong,2026-09-21
