record_id,product_id,sku,cpu,ram_gb,storage_gb,gpu,screen_size_inch,weight_kg
thegioididong_343122,343122,,Intel Core i5 Raptor Lake - 13500H,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.79
thegioididong_338323,338323,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,15.6,1.7
thegioididong_363507,363507,,Apple M5 - Hãng không công bố,16.0,512.0,Card tích hợp - 10 nhân GPU,15.3,1.51
thegioididong_367376,367376,,AMD Ryzen 5 - 7430U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.45
thegioididong_366746,366746,,AMD Ryzen 5 - 7535HS,16.0,512.0,Card tích hợp - AMD Radeon 660M Graphics,15.3,1.59
thegioididong_363263,363263,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.53
thegioididong_368189,368189,,Intel Core i3 Alder Lake - 1215U,8.0,256.0,Card tích hợp - Intel Graphics,14.0,1.1
thegioididong_364859,364859,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_337420,337420,,AMD Ryzen 5 - 7530U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,14.0,1.36
thegioididong_367375,367375,,AMD Ryzen 7 - 7730U,8.0,512.0,Card tích hợp - AMD Radeon 680M Graphics,14.5,1.3
thegioididong_364397,364397,,Snapdragon X - X1 26 100,16.0,512.0,Card tích hợp - Qualcomm Adreno GPU,16.0,1.88
thegioididong_369212,369212,,Intel Core thế hệ 12 - 120U,16.0,512.0,Card tích hợp,15.6,1.7
thegioididong_363487,363487,,Apple M5,16.0,512.0,Card tích hợp - 8 nhân GPU,13.6,1.23
thegioididong_362025,362025,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_355729,355729,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.402
thegioididong_367016,367016,,Intel Core Ultra 5 Panther Lake - 322,16.0,512.0,Card tích hợp - Intel Graphics,15.3,1.63
thegioididong_360295,360295,,Intel Core Ultra 7 Arrow Lake - 255HX,32.0,1024.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.7
thegioididong_363491,363491,,Apple M5 Pro,24.0,1024.0,Card tích hợp - 20 nhân GPU,16.2,2.14
thegioididong_369645,369645,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.1
thegioididong_366087,366087,,AMD Ryzen 5 - 40,16.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.45
thegioididong_368192,368192,,Intel Core i5 Alder Lake - 1235U,16.0,512.0,Card tích hợp - Intel UHD Graphics,14.0,1.1
thegioididong_362398,362398,,Intel Core Ultra 5 Meteor Lake - 125H,24.0,512.0,Card tích hợp - Intel Graphics,15.6,1.623
thegioididong_368210,368210,,Intel Core 5 Wildcat Lake - 320,16.0,512.0,Card tích hợp - Intel Graphics,15.3,1.59
thegioididong_360690,360690,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.69
thegioididong_368656,368656,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,1.99
thegioididong_365310,365310,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.9
thegioididong_341267,341267,,Intel Core Ultra 5 Arrow Lake - 225U,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.725
thegioididong_368211,368211,,Intel Core 5 Wildcat Lake - 320,8.0,512.0,Card tích hợp - Intel Graphics,15.3,1.59
thegioididong_366090,366090,,Intel Core Ultra 5 Meteor Lake - 115U,16.0,512.0,Card tích hợp - Intel Graphics,15.6,1.59
thegioididong_363903,363903,,AMD Ryzen 7 - 170,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,1.8
thegioididong_357990,357990,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_362620,362620,,AMD Ryzen 5 - 40,8.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.63
thegioididong_368655,368655,,Intel Core Ultra 5 Meteor Lake - 125H,16.0,512.0,Card tích hợp - Intel Arc Graphics,16.0,1.6
thegioididong_360298,360298,,AMD Ryzen AI 9 - 365,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5070, 8 GB",16.0,2.18
thegioididong_341607,341607,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5050, 8 GB",15.6,2.1
thegioididong_342524,342524,,Intel Core i5 Raptor Lake - 13450HX,16.0,1024.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.38
thegioididong_340561,340561,,Intel Core i5 Raptor Lake - 1334U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_341624,341624,,AMD Ryzen 7 - 7445HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,2.29
thegioididong_366086,366086,,AMD Ryzen 3 - 5400U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.45
thegioididong_339682,339682,,Snapdragon X Plus - X1P-64-100,16.0,512.0,Card tích hợp - Qualcomm Adreno GPU,14.0,1.53
thegioididong_337044,337044,,Intel Core Ultra 5 Meteor Lake - 125U,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.7
thegioididong_335554,335554,,Intel Core i5 Raptor Lake - 13450HX,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.38
thegioididong_366823,366823,,Intel Core 7 Raptor Lake - 240H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 5060, 8 GB",16.0,2.4
thegioididong_327506,327506,,AMD Ryzen 5 - 7430U,16.0,1024.0,Card tích hợp - AMD Radeon Graphics,14.0,1.25
thegioididong_366745,366745,,AMD Ryzen 5 - 7533HS,16.0,512.0,Card tích hợp - AMD Radeon 660M Graphics,14.0,1.39
thegioididong_342758,342758,,Intel Core 5 Raptor Lake - 210H,16.0,512.0,Card tích hợp - Intel UHD Graphics,16.0,1.7
thegioididong_340562,340562,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_341623,341623,,AMD Ryzen 7 - 7445HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.29
thegioididong_341602,341602,,Intel Core Ultra 5 Meteor Lake - 125H,16.0,512.0,Card tích hợp - Intel Arc Graphics,16.0,1.6
thegioididong_358797,358797,,Intel Core Ultra 7 Meteor Lake - 155H,16.0,512.0,Card tích hợp - Intel Arc Graphics,15.6,1.65
thegioididong_325691,325691,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics,15.6,1.59
thegioididong_363690,363690,,Intel Core i5 Raptor Lake - 13420H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 4 GB",15.6,1.98
thegioididong_362026,362026,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel UHD Graphics,15.6,1.65
thegioididong_367684,367684,,Intel Core Ultra 5 Panther Lake - 322,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.43
thegioididong_369911,369911,,AMD Ryzen 7 - 7730U,16.0,1024.0,Card tích hợp - AMD Radeon Graphics,15.6,1.635
thegioididong_363257,363257,,Intel Core Ultra 5 Arrow Lake - 225H,16.0,512.0,Card tích hợp - Intel Graphics,16.0,1.88
thegioididong_327707,327707,,Intel Core i7 Raptor Lake - 13620H,16.0,512.0,"Card rời - NVIDIA GeForce RTX 4050, 6 GB",15.6,1.98
thegioididong_339954,339954,,Intel Core 5 Raptor Lake - 120U,16.0,512.0,Card tích hợp - Intel Graphics,14.0,1.5
thegioididong_341601,341601,,AMD Ryzen 7 - 7735HS,16.0,512.0,"Card rời - NVIDIA GeForce RTX 3050, 6 GB",15.6,2.1
thegioididong_333421,333421,,Intel Core i7 Raptor Lake - 1355U,16.0,512.0,Card tích hợp - Intel Iris Xe Graphics eligible,16.0,1.7
thegioididong_334446,334446,,Intel Core i7 Raptor Lake - 13620H,24.0,512.0,Card tích hợp - Intel UHD Graphics,15.3,1.63
thegioididong_366992,366992,,AMD Ryzen 7 - 5825U,8.0,512.0,Card tích hợp - AMD Radeon Graphics,15.6,1.45
